Name: 三沙卫视, URL: http://61.138.128.226:19901/tsfile/live/1020_1.m3u8, Date: None, Resolution: None, Response Time: 446ms
Name: 宁夏卫视, URL: http://218.13.170.98:9901/tsfile/live/0112_1.m3u8, Date: None, Resolution: None, Response Time: 504ms
Name: 内蒙古卫视, URL: http://218.13.170.98:9901/tsfile/live/0109_1.m3u8, Date: None, Resolution: None, Response Time: 506ms
Name: 天津卫视, URL: http://218.13.170.98:9901/tsfile/live/1008_1.m3u8, Date: None, Resolution: None, Response Time: 511ms
Name: 贵州卫视, URL: http://218.13.170.98:9901/tsfile/live/1014_1.m3u8, Date: None, Resolution: None, Response Time: 1081ms
Name: CCTV17, URL: http://xxw.me0.cn/api/migu.php?id=19, Date: None, Resolution: None, Response Time: 1303ms
Name: CCTV12, URL: http://xxw.me0.cn/api/migu.php?id=15, Date: None, Resolution: None, Response Time: 1306ms
Name: 江西卫视, URL: http://xxw.me0.cn/api/migu.php?id=26, Date: None, Resolution: None, Response Time: 1301ms
Name: CCTV11, URL: http://xxw.me0.cn/api/migu.php?id=14, Date: None, Resolution: None, Response Time: 1313ms
Name: 青海卫视, URL: http://stream.qhbtv.com/qhws/sd/live.m3u8, Date: None, Resolution: None, Response Time: 1667ms
Name: 陕西卫视, URL: http://218.13.170.98:9901/tsfile/live/0136_1.m3u8, Date: None, Resolution: None, Response Time: 1995ms
